taxa_clean,wm_g,dm_g,keep_data
Simplisetia,0.034,0.012,TRUE
Simplisetia,0.251,0.055,TRUE
Simplisetia,0.013,0.003,TRUE
Simplisetia,0.017,0.004,TRUE
Simplisetia,0.008,0.002,TRUE
Simplisetia,0.012,0.004,TRUE
Simplisetia,0.01,0.005,TRUE
Simplisetia,0.044,0.012,TRUE
Simplisetia,0.036,0.012,TRUE
Simplisetia,0.123,0.035,TRUE
Simplisetia,0.359,0.088,TRUE
Simplisetia,0.249,0.055,TRUE
Simplisetia,0.242,0.066,TRUE
Simplisetia,0.078,0.025,TRUE
Simplisetia,0.279,0.083,TRUE
Simplisetia,0.498,0.124,TRUE
Simplisetia,0.462,0.132,TRUE
Simplisetia,0.675,0.141,FALSE
Simplisetia,0.399,0.083,TRUE
Simplisetia,0.511,0.119,TRUE
Simplisetia,0.935,0.205,FALSE
Simplisetia,0.684,0.228,FALSE
Simplisetia,0.797,0.216,FALSE
Simplisetia,0.619,0.161,TRUE
Simplisetia,0.697,0.176,FALSE
Simplisetia,0.305,0.066,TRUE
Simplisetia,0.463,0.125,TRUE
Simplisetia,0.46,0.081,FALSE
Simplisetia,0.356,0.074,TRUE
Simplisetia,0.547,0.126,TRUE
Simplisetia,0.006,0.001,TRUE
Hydrobiidae,0.03,0.017,TRUE
Hydrobiidae,0.013,0.006,TRUE
Hydrobiidae,0.067,0.047,FALSE
Hydrobiidae,0.011,0.007,TRUE
Hydrobiidae,0.013,0.006,TRUE
Hydrobiidae,0.004,0.002,TRUE
Hydrobiidae,0.003,0.001,TRUE
Hydrobiidae,0.003,0.001,TRUE
Hydrobiidae,0.006,0.004,TRUE
Hydrobiidae,0.014,0.009,TRUE
Hydrobiidae,0.004,0.002,TRUE
Hydrobiidae,0.004,0.002,TRUE
Hydrobiidae,0.008,0.005,TRUE
Hydrobiidae,0.013,0.005,TRUE
Hydrobiidae,0.017,0.009,TRUE
Hydrobiidae,0.013,0.006,TRUE
Hydrobiidae,0.018,0.009,TRUE
Hydrobiidae,0.023,0.013,TRUE
Hydrobiidae,0.036,0.023,TRUE
Hydrobiidae,0.13,0.08,FALSE
Hydrobiidae,0.146,0.091,FALSE
Hydrobiidae,0.137,0.087,FALSE
Hydrobiidae,0.014,0.011,FALSE
Hydrobiidae,0.027,0.017,TRUE
Hydrobiidae,0.027,0.018,TRUE
Hydrobiidae,0.013,0.009,TRUE
Hydrobiidae,0.015,0.009,TRUE
Hydrobiidae,0.014,0.008,TRUE
Hydrobiidae,0.043,0.028,TRUE
Hydrobiidae,0.005,0.002,TRUE
Hydrobiidae,0.007,0.002,TRUE
Hydrobiidae,0.011,0.007,TRUE
Hydrobiidae,0.019,0.011,TRUE
Chironomidae,0.002,0.002,TRUE
Chironomidae,0.004,0.003,TRUE
Chironomidae,0.002,0.001,TRUE
Chironomidae,0.002,0.001,TRUE
Chironomidae,0.004,0.001,TRUE
Chironomidae,0.004,0.002,TRUE
Chironomidae,0.002,0.001,TRUE
Chironomidae,0.03,0.007,TRUE
Chironomidae,0.056,0.011,FALSE
Chironomidae,0.013,0.006,TRUE
Chironomidae,0.004,0.002,TRUE
Chironomidae,0.017,0.004,TRUE
Chironomidae,0.005,0.003,TRUE
Chironomidae,0.009,0.002,TRUE
Chironomidae,0.03,0.011,FALSE
Chironomidae,0.007,0.002,TRUE
Chironomidae,0.007,0.003,TRUE
Chironomidae,0.023,0.007,TRUE
Chironomidae,0.021,0.005,TRUE
Chironomidae,0.009,0.004,TRUE
Chironomidae,0.01,0.005,TRUE
Chironomidae,0.078,0.016,FALSE
Chironomidae,0.116,0.023,FALSE
Chironomidae,0.008,0.002,TRUE
Chironomidae,0.004,0.002,TRUE
Chironomidae,0.002,0.001,TRUE
Chironomidae,0.002,0.001,TRUE
Chironomidae,0.005,0.003,TRUE
Chironomidae,0.003,0.002,TRUE
Chironomidae,0.003,0.001,TRUE
Chironomidae,0.006,0.002,TRUE
Chironomidae,0.015,0.006,TRUE
Chironomidae,0.041,0.009,TRUE
Chironomidae,0.018,0.005,TRUE
Chironomidae,0.019,0.004,TRUE
Chironomidae,0.014,0.003,TRUE
Chironomidae,0.008,0.001,TRUE
Chironomidae,0.045,0.009,TRUE
Chironomidae,0.025,0.005,TRUE
Chironomidae,0.024,0.006,TRUE
Chironomidae,0.005,0.001,TRUE
Chironomidae,0.005,0.001,TRUE
Chironomidae,0.004,0.001,TRUE
Chironomidae,0.01,0.004,TRUE
Chironomidae,0.006,0.002,TRUE
Chironomidae,0.006,0.002,TRUE
Chironomidae,0.011,0.003,TRUE
Chironomidae,0.005,0.004,TRUE
Chironomidae,0.007,0.005,FALSE
Chironomidae,0.003,0.001,TRUE
Chironomidae,0.006,0.002,TRUE
Chironomidae,0.005,0.001,TRUE
Chironomidae,0.038,0.009,TRUE
Chironomidae,0.007,0.005,FALSE
Chironomidae,0.012,0.003,TRUE
Chironomidae,0.017,0.004,TRUE
Chironomidae,0.022,0.004,TRUE
Chironomidae,0.024,0.004,TRUE
Chironomidae,0.023,0.005,TRUE
Chironomidae,0.017,0.004,TRUE
Chironomidae,0.02,0.008,TRUE
Chironomidae,0.026,0.005,TRUE
Chironomidae,0.008,0.002,TRUE
Chironomidae,0.011,0.002,TRUE
Chironomidae,0.006,0.002,TRUE
Arthritica,0.006,0.003,FALSE
Arthritica,0.03,0.019,TRUE
Arthritica,0.017,0.01,TRUE
Arthritica,0.019,0.011,TRUE
Arthritica,0.012,0.008,TRUE
Arthritica,0.025,0.017,TRUE
Arthritica,0.021,0.014,TRUE
Arthritica,0.024,0.016,TRUE
Arthritica,0.025,0.015,TRUE
Arthritica,0.019,0.014,TRUE
Arthritica,0.433,0.295,TRUE
Arthritica,0.355,0.223,TRUE
Arthritica,0.086,0.055,TRUE
Arthritica,0.172,0.107,TRUE
Arthritica,0.315,0.204,TRUE
Arthritica,0.693,0.472,FALSE
Arthritica,0.35,0.224,TRUE
Arthritica,0.227,0.146,TRUE
Arthritica,0.251,0.156,TRUE
Arthritica,0.478,0.331,TRUE
Arthritica,0.289,0.193,TRUE
Arthritica,0.455,0.296,TRUE
Arthritica,0.142,0.093,TRUE
Arthritica,0.063,0.05,TRUE
Arthritica,0.262,0.179,TRUE
Arthritica,0.38,0.23,TRUE
Arthritica,0.467,0.275,FALSE
Arthritica,0.578,0.353,FALSE
Arthritica,0.109,0.072,TRUE
Arthritica,0.054,0.033,TRUE
Arthritica,0.486,0.275,FALSE
Arthritica,1.231,0.917,FALSE
Arthritica,0.459,0.267,FALSE
Arthritica,0.304,0.185,TRUE
Arthritica,0.583,0.346,FALSE
Arthritica,0.109,0.065,TRUE
Arthritica,0.174,0.106,TRUE
Arthritica,0.198,0.124,TRUE
Arthritica,0.221,0.136,TRUE
Arthritica,0.156,0.091,TRUE
Arthritica,0.01,0.006,TRUE
Arthritica,0.015,0.008,TRUE
Arthritica,0.009,0.005,TRUE
Arthritica,0.018,0.01,TRUE
Arthritica,0.009,0.005,TRUE
Arthritica,0.019,0.012,TRUE
Arthritica,0.013,0.007,TRUE
Arthritica,0.021,0.011,TRUE
Arthritica,0.028,0.015,TRUE
Capitella,0.002,0.002,FALSE
Capitella,0.027,0.006,TRUE
Capitella,0.034,0.008,TRUE
Capitella,0.009,0.002,TRUE
Capitella,0.016,0.004,TRUE
Capitella,0.009,0.001,FALSE
Capitella,0.015,0.003,TRUE
Capitella,0.015,0.004,TRUE
Capitella,0.017,0.007,TRUE
Capitella,0.014,0.005,TRUE
Capitella,0.052,0.009,TRUE
Capitella,0.012,0.004,TRUE
Capitella,0.009,0.002,TRUE
Capitella,0.017,0.006,TRUE
Capitella,0.023,0.009,TRUE
Capitella,0.027,0.008,TRUE
Capitella,0.016,0.006,TRUE
Capitella,0.021,0.006,TRUE
Capitella,0.031,0.007,TRUE
Capitella,0.023,0.007,TRUE
Capitella,0.046,0.008,TRUE
Capitella,0.016,0.006,TRUE
Capitella,0.058,0.012,TRUE
Capitella,0.129,0.022,TRUE
Capitella,0.056,0.014,TRUE
Capitella,0.085,0.017,TRUE
Capitella,0.119,0.021,TRUE
Capitella,0.061,0.01,TRUE
Capitella,0.04,0.009,TRUE
Capitella,0.057,0.012,TRUE
Capitella,0.008,0.002,TRUE
Capitella,0.008,0.003,TRUE
Capitella,0.011,0.002,TRUE
Capitella,0.008,0.004,TRUE
Capitella,0.004,0.001,FALSE
Capitella,0.019,0.004,TRUE
Capitella,0.007,0.003,TRUE
Capitella,0.003,0.002,FALSE
Capitella,0.013,0.003,TRUE
Capitella,0.023,0.004,TRUE
Capitella,0.09,0.028,TRUE
Capitella,0.032,0.008,TRUE
Capitella,0.043,0.01,TRUE
Capitella,0.04,0.01,TRUE
Capitella,0.025,0.006,TRUE
Capitella,0.02,0.006,TRUE
Capitella,0.024,0.008,TRUE
Capitella,0.161,0.036,TRUE
Capitella,0.047,0.013,TRUE
Capitella,0.092,0.031,FALSE
Capitella,0.024,0.01,TRUE
Capitella,0.015,0.009,TRUE
Capitella,0.019,0.008,TRUE
Capitella,0.021,0.007,TRUE
Capitella,0.029,0.006,TRUE
Capitella,0.1,0.03,TRUE
Capitella,0.02,0.008,TRUE
Capitella,0.049,0.013,TRUE
Capitella,0.025,0.01,TRUE
Capitella,0.022,0.008,TRUE
Capitella,0.031,0.012,TRUE
Capitella,0.039,0.01,TRUE
Capitella,0.021,0.009,TRUE
Capitella,0.009,0.004,TRUE
Capitella,0.18,0.043,FALSE
Capitella,0.163,0.038,TRUE
Capitella,0.289,0.071,FALSE
Capitella,0.207,0.037,FALSE
Capitella,0.239,0.052,FALSE
Capitella,0.145,0.028,TRUE
Capitella,0.244,0.047,FALSE
Capitella,0.109,0.022,TRUE
Capitella,0.184,0.033,FALSE
Capitella,0.291,0.062,FALSE
Capitella,0.101,0.024,TRUE
Capitella,0.402,0.069,FALSE
Capitella,0.095,0.022,TRUE
Capitella,0.133,0.03,TRUE
Capitella,0.21,0.044,FALSE
Salinator,0.003,0.001,TRUE
Salinator,0.015,0.008,TRUE
Salinator,0.004,0.002,TRUE
Salinator,0.003,0.001,TRUE
Salinator,0.011,0.005,TRUE
Salinator,0.047,0.039,TRUE
Salinator,0.276,0.194,FALSE
Salinator,0.291,0.231,FALSE
Salinator,0.034,0.017,TRUE
Salinator,0.029,0.015,TRUE
Salinator,0.011,0.006,TRUE
Salinator,0.177,0.074,FALSE
Salinator,0.178,0.089,TRUE
Salinator,0.024,0.013,TRUE
Salinator,0.061,0.032,TRUE
Salinator,0.176,0.096,TRUE
Salinator,0.004,0.002,TRUE
Spisula,0.168,0.028,TRUE
Spisula,0.11,0.017,TRUE
Spisula,0.006,0.001,FALSE
Spisula,0.066,0.01,TRUE
Spisula,0.021,0.007,TRUE
Spisula,0.073,0.016,TRUE
Spisula,0.101,0.017,TRUE
Spisula,0.057,0.016,TRUE
Spisula,0.306,0.051,FALSE
Spisula,0.464,0.072,FALSE
Spisula,0.077,0.017,TRUE
Spisula,0.365,0.103,FALSE
Spisula,0.161,0.035,TRUE
Spisula,0.079,0.021,TRUE
Spisula,0.161,0.052,TRUE
Spisula,0.136,0.031,TRUE
Spisula,0.095,0.019,TRUE
Spisula,0.135,0.026,TRUE
Spisula,0.138,0.043,TRUE
Spisula,0.124,0.031,TRUE
Spisula,0.155,0.04,TRUE
Spisula,0.116,0.03,TRUE
Spisula,0.008,0.003,TRUE
Salinator (shell removed),0.921,0.291,TRUE
Salinator (shell removed),0.378,0.128,TRUE
Salinator (shell removed),1.271,0.408,FALSE
Salinator (shell removed),0.259,0.073,TRUE
Salinator (shell removed),0.999,0.311,FALSE
Salinator (shell removed),0.201,0.059,TRUE
Salinator (shell removed),0.217,0.064,TRUE
Salinator (shell removed),0.141,0.045,TRUE
Salinator (shell removed),0.161,0.049,TRUE
Salinator (shell removed),0.219,0.064,TRUE
Salinator (shell removed),0.172,0.068,TRUE
Salinator (shell removed),0.146,0.057,TRUE
Salinator (shell removed),0.157,0.054,TRUE
Salinator (shell removed),0.211,0.09,FALSE
Salinator (shell removed),0.096,0.035,FALSE
